Project Name,SLOC,Commits,Time_Span,Developers,Open Issues,Fixed Issues,Total Issues,Self-fixed Issues,Self-fixed Rate,Fixing Rate
airflow,12593,2223,10/14-12/15,85,689,3993,4682,1079,27.02%,85.28%
allura,22011,2136,10/09-09/10,11,2500,2775,5275,585,21.08%,52.61%
bloodhound,74658,1238,01/12-02/18,19,5244,963,6207,300,31.15%,15.51%
cassandra-dtest,47387,2412,09/11-09/15,35,3534,21397,24931,5533,25.86%,85.82%
chemistry-cmislib,9143,117,07/10-08/17,5,215,197,412,187,94.92%,47.82%
cloudstack-ec2stack,5390,341,02/14-09/15,7,127,803,930,420,52.30%,86.34%
cloudstack-gcestack,3299,332,08/13-07/18,4,309,303,612,226,74.59%,49.51%
dubbo-python,968,72,04/15-04/19,6,99,82,181,77,93.90%,45.30%
fluo-muchos,1477,261,01/15-02/19,7,41,100,141,94,94.00%,70.92%
kibble,8507,629,10/17-01/19,2,354,99,453,99,100.00%,21.85%
libcloud,41893,2422,11/11-12/13,50,1758,833,2591,663,79.59%,32.15%
openwhisk-composer-python,1820,84,04/18-08/19,5,244,227,471,217,95.59%,48.20%
openwhisk-package-kafka,1415,230,10/16-11/19,14,128,102,230,61,59.80%,44.35%
predictionio-sdk-python,1739,122,02/13-10/17,19,93,142,235,30,21.13%,60.43%
qpid-dispatch,36193,2443,10/13-04/18,22,1223,1427,2650,813,56.97%,53.85%
qpid-interop-test,5224,187,06/15-10/19,3,220,238,458,237,99.58%,51.97%
qpid-python,21110,1006,09/06-01/19,31,1482,376,1858,225,59.84%,20.24%
rocketmq-client-python,861,308,10/18-11/19,15,90,505,595,176,34.85%,84.87%
steve,2862,387,03/15-07/19,5,284,205,489,205,100.00%,41.92%
trafficserver-qa,1105,109,11/14-11/16,5,108,70,178,62,88.57%,39.33%
Total,299655,17059,,350,,,53579,11289,,
Average,14982.75,852.95,,17.5,,,2678.95,564.45,65.54%,51.91%
Median,5307,336.5,,9,,,542,221,67.21%,48.85%
Min,861,72,,2,,,141,30,21.08%,15.51%
Max,74658,2443,,85,,,24931,5533,100.00%,86.34%

