Java.Code,Python.Code,Java.Defect,Python.Defect,Java.Design,Python.Design,Java.Documentation,Python.Documentation,Java.Test,Python.Test
0.344086022,0.247076731,0.248333333,0.332786213,0.4048583,0.311881188,1,0.242788462,0.625,0.245283019
0.111285883,0.920634921,0.26681531,1,0.118811881,0.9375,0.156521739,0.875,0.092250923,0.5
0.910480349,0.875,0.968066233,0.484375,0.858695652,0.5,0.837837838,0.539863326,0.5,1
0.674339878,0.485714286,0.506063947,0.815602837,0.518367347,0.933333333,0.222910217,0.666666667,0.764705882,1
1,1,1,0.911764706,1,1,1,0.945945946,1,1
0.367346939,0.75,0.167630058,0.964705882,0.230769231,1,0,0.75,0,0.461538462
0.03546982,1,0.077654517,1,0.108108108,1,0,1,0.217391304,1
0.27735369,0.959183673,0.164118247,1,0.135172414,1,0.21875,0.945454545,0.232142857,1
0.188053097,0.69047619,0.165501166,0.730769231,0.185185185,0.636363636,0.5,0.260869565,0.318181818,0.222222222
0.415151515,0.384615385,0.341517857,0.153846154,0.325333333,0.4,0.340425532,0.714285714,0,1
0.519745223,0.615640599,0.363636364,0.531353135,0.403636364,0.480620155,0,0.569014085,0.481927711,0.411764706
0.108208955,1,0.123493976,0.99378882,0.136363636,1,0.5,1,0.571428571,0.03125
0.044444444,0.591549296,0.5,0.593939394,0.333333333,0.306122449,0.572649573,0.766666667,0.384615385,0.145669291
0.557692308,0.647058824,0.541271989,0.72,0.43030303,0.5,0.478527607,0.294871795,0.329268293,0.097087379
0.462452471,1,0.699777613,1,0.478709677,1,0,1,0.444444444,
0.076124567,1,0.098901099,0.820512821,0.282485876,0.5,,1,,
,0.734513274,,0.843551797,,0.794871795,,0.748691099,,
,0.260869565,,0.320843091,,0.413793103,,0.298642534,,
,0.255278311,,0.31954023,,0.28125,,0.167014614,,
,0.242201835,,0.441156228,,0.206088993,,0.145374449,,
